decision_name,rule_id,source_file,source_lines,source_tier,extraction_method,note
Effective Minimum Amount Threshold,literal,spree/core/app/models/spree/promotion/rules/item_total.rb,19-34,2,manual code review,"redesign 2026-09-10: resolves operatorMin into a single concrete threshold (epsilon=0.01, one cent, matching Spree's decimal-money precision) so the downstream eligibility table never branches on a string; replaces the earlier row-selector approach"
Effective Maximum Amount Threshold,literal,spree/core/app/models/spree/promotion/rules/item_total.rb,19-34,2,manual code review,"same redesign, mirrored for operatorMax"
Promotion Item Total Eligibility,rule_1..4,spree/core/app/models/spree/promotion/rules/item_total.rb,19-34,2,manual code review,"redesigned again 2026-09-10 (B1): now UNIQUE hit policy, 2 columns (itemTotal via a FEEL range literal against the two upstream thresholds; amountMaxSet), 4 exhaustive/mutually-exclusive rules, zero wildcards. Brute-force swept in-session over itemTotal x amountMaxSet: exactly one rule matches every combination, confirming completeness and mutual exclusivity the way a real DMN engine's static check would."
Promotion Temporal Availability,rule_1..3,spree/core/app/models/spree/promotion.rb,135-144,2,manual code review,active?/expired? reformulated as a 3-way classification rather than two separate boolean predicates
Promotion Usage Limit Exceeded,rule_1..4,spree/core/app/models/spree/promotion.rb,246-247,2,manual code review,usage_limit_exceeded? is a 3-term AND; usageLimitSet is a legitimate existence check (usage_limit.present?)
Customer Group Match Count,literal,spree/core/app/models/spree/promotion/rules/customer_group.rb,22-34,2,manual code review,"models the array-intersection-.any? pattern as a COUNT(intersection) aggregate rather than a pre-computed boolean; join is SpreeCustomerGroupUser.where(customer_id:...).pluck(:customer_group_id)"
Promotion Customer Group Eligibility,rule_1..4,spree/core/app/models/spree/promotion/rules/customer_group.rb,28-35,2,manual code review,"customerIdPresent and promotionTargetGroupsConfigured are legitimate existence checks (order.customer_id.present? / preferred_customer_group_ids.empty?)"
Prior Completed Order Count,literal,spree/core/app/models/spree/promotion/rules/first_order.rb,34-40,2,manual code review,"models completed_orders (user.orders.for_store(store).complete or store.orders.where(email:).complete) as a COUNT rather than a pre-computed blank?/present? boolean"
First-Order Promotion Eligibility,rule_1..3,spree/core/app/models/spree/promotion/rules/first_order.rb,11-30,2,manual code review,userOrEmailPresent is a legitimate existence check (user || email)
One-Use-Per-User Promotion Eligibility,rule_1..3,spree/core/app/models/spree/promotion/rules/one_use_per_user.rb,9-19,2,manual code review,"priorPromotionUsageCount models promotion.used_by?(customer,[order]) as a count rather than a boolean; customerPresent is a legitimate existence check"
Promotion Tiered Percent Discount Selection,rule_1..3,spree/core/app/models/spree/calculator/tiered_percent.rb,25-28,2,manual code review,"TIER 4 for the specific breakpoint literals (500/200, 20%/10%): preferred_tiers is a merchant-configured runtime Hash, not fixed in source; the descending-lookup MECHANISM (rule shape, FIRST-hit-by-threshold) is Tier 2 and faithfully mined from compute()'s sort.reverse.detect pattern"
Price List Volume Adjustment Tier Selection,rule_1..3,spree/core/app/models/spree/price_adjustment_tier.rb,1-62,2,manual code review,"TIER 4 for the specific breakpoint literals (100/50, -20%/-10%), same reasoning as above; validations (min_quantity>1, percentage in (-100,1000) excluding 0) are Tier 2 and enforced by the illustrative values chosen. This decision's 100-unit tier deliberately mirrors the example rule shape this case study was selected to cover (customer segment x quantity threshold -> discount)."
Price Adjustment Tier Validity,rule_1..5,spree/core/app/models/spree/price_adjustment_tier.rb,21-61,2,manual code review,"redesigned to COLLECT hit policy 2026-09-10 (discussed explicitly with the user, chosen for consistency with the same fork already faced -- and previously resolved as FIRST -- for OpenMRS's validators; OpenMRS itself flagged for a matching follow-up pending that package being made available in this environment). Each row is now independently evaluable and all matching rows fire simultaneously into a list, faithfully matching real ActiveRecord validation behavior (accumulates all errors, does not stop at the first). minQuantity/percentage/siblingTierCount bounds and the MAXIMUM_BREAKS_PER_VARIANT=10 cap are unchanged and real (spree/core/app/models/spree/price.rb:25)."
Price Adjustment Tier Validity,result,spree/core/app/models/spree/price_adjustment_tier.rb,21-61,2,manual code review,"new literal-expression decision (count(invalidReasons) = 0), downstream of the COLLECT table via a DRD edge -- replaces the single tierValid output column the FIRST-hit-policy version had"
