case_study,dmn_file,decision_name,io,variable_name,feel_type,mapper_predicted_type,mapper_confidence,llm_verdict,llm_predicted_table,llm_predicted_column,candidate_votes
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,cumulativeGPA,number,"likely derived (auto, low confidence -- needs review)",0.225,no confident match (LLM rejected all candidates),,,"FMSPONSORSHIP.MINSGPA (no, 0.23, votes={'no': 1}); FMSTUDENTSPONSORSHIP.MINSGPA (no, 0.23, votes={'no': 1}); FB_QUESTIONS.ISACTIVE (no, 0.21, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,priorWarningCount,number,"likely derived (auto, low confidence -- needs review)",0.446,confirmed,STUDENT_PROGRAM,WARNING,"STUDENT_PROGRAM.WARNING (yes, 0.45, votes={'yes': 1}); STUDENT_SEMESTER.WARNING (yes, 0.45, votes={'yes': 1}); STUDENT_REMARKS_HISTORY.PRIORITY (no, 0.25, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,yearsSinceProgramStart,number,needs review (no confident match),0.232,no confident match (LLM rejected all candidates),,,"INAME.TRIMSTART (no, 0.23, votes={'no': 1}); STUDENT_PROGRAM.PROG_STATUS (no, 0.22, votes={'no': 1}); FMFEEDATES.PROGRAMID (no, 0.20, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,newAdmissionEligibilityNotMet,boolean,needs review (no confident match),0.17,no confident match (LLM rejected all candidates),,,"ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (no, 0.17, votes={'no': 1}); ORA_ASPNET_SESSIONS.SESSIONITEMLONG (no, 0.16, votes={'no': 1}); ORA_ASPNET_MEMBERSHIP.MOBILEPIN (no, 0.14, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,unmetPrerequisiteCount,number,"likely derived (auto, low confidence -- needs review)",0.32,no confident match (LLM rejected all candidates),,,"COURSE_COREQUISITE.COREQUISITE_COURSE (no, 0.32, votes={'no': 1}); COURSE_PREREQ.COURSE_PREREQ (no, 0.26, votes={'no': 1}); COURSE.EQUIVALENCE (no, 0.21, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,previousGradeInCourse,string,needs review (no confident match),0.379,no confident match (LLM rejected all candidates),,,"TT_STD_REGISTRATION.COURSE_CODE (no, 0.38, votes={'no': 1}); COURSE_REGISTRATION.RESTRICTED_COURSE_ID (no, 0.36, votes={'no': 1}); COURSE_REGISTRATION_T.RESTRICTED_COURSE_ID (no, 0.36, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,projectedTotalCoursesThisRegistration,number,"likely derived (auto, low confidence -- needs review)",0.273,no confident match (LLM rejected all candidates),,,"COURSE_EVALUATION.TOTAL_MARKS (no, 0.27, votes={'no': 1}); STUDENT_QUALIFICATION.TOTAL_SCORE (no, 0.26, votes={'no': 1}); FMEXECUTIVEREPORTDATA.COURSES (no, 0.25, votes={'no': 1})"
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,maxCoursesAllowed,number,needs review (no confident match),0.446,no confident match (LLM rejected all candidates),,,"FMEXECUTIVEREPORTDATA.COURSES (no, 0.45, votes={'no': 1}); FMSEMFEE_20190114.COURSES (no, 0.45, votes={'no': 1}); FMSEMFEE_20190129.COURSES (no, 0.45, votes={'no': 1})"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,degreeTotalCredits,number,"likely derived (auto, low confidence -- needs review)",0.408,no confident match (LLM rejected all candidates),,,"STUDENT_QUALIFICATION.DEGREE (no, 0.41, votes={'no': 1}); COURSE_EVALUATION.TOTAL_MARKS (no, 0.40, votes={'no': 1}); STUDENT_QUALIFICATION.TOTAL_SCORE (no, 0.39, votes={'no': 1})"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,gradeInCourseToReplace,string,needs review (no confident match),0.36,confirmed,COURSE_REGISTRATION,GRADE,"TT_STD_REGISTRATION.COURSE_CODE (no, 0.36, votes={'no': 1}); COURSE_REGISTRATION.GRADE (yes, 0.33, votes={'yes': 1}); COURSE_REGISTRATION_T.GRADE (yes, 0.33, votes={'yes': 1})"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,courseOfferedInFollowingSemesters,boolean,needs review (no confident match),0.159,no confident match (LLM rejected all candidates),,,"ORA_ASPNET_ROLES.LOWEREDROLENAME (no, 0.16, votes={'no': 1}); COURSE_PREREQ.COURSE_PREREQ (no, 0.14, votes={'no': 1}); ORA_ASPNET_USERS.LOWEREDUSERNAME (no, 0.14, votes={'no': 1})"
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,replacingCoursePassedAtLeastOneSemesterAfter,boolean,needs review (no confident match),0.128,no confident match (LLM rejected all candidates),,,"ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (no, 0.13, votes={'no': 1}); COURSE_REGISTRATION.REPEAT_COURSE_ID (no, 0.13, votes={'no': 1}); COURSE_REGISTRATION_T.REPEAT_COURSE_ID (no, 0.13, votes={'no': 1})"
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,cumulativeExemptedCreditPercentIfGranted,number,"likely derived (auto, low confidence -- needs review)",0.347,unknown (model could not judge confidently),,,"STUDENT_PROGRAM.CREDIT_EXEMPTED (unknown, 0.35, votes={'unknown': 1}); BATCH_PROGRAM.AVG_CREDIT (no, 0.22, votes={'no': 1}); COURSE.MIN_CREDIT_HRS (no, 0.22, votes={'no': 1})"
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,unmetPrerequisiteAlsoPassedCount,number,"likely derived (auto, low confidence -- needs review)",0.216,no confident match (LLM rejected all candidates),,,"COURSE_COREQUISITE.COREQUISITE_COURSE (no, 0.22, votes={'no': 1}); ORA_ASPNET_MEMBERSHIP.ISLOCKEDOUT (no, 0.19, votes={'no': 1}); PHD_STUDENT_SUPERVISOR_LOG.CHANGE_REQUESTED_BY (no, 0.18, votes={'no': 1})"
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesAttended,,needs review (no confident match),0.285,no confident match (LLM rejected all candidates),,,"STUDENT_ATTENDANCE.LECTURE_ID (no, 0.29, votes={'no': 1}); LECTURE.LECTURE_DATE (no, 0.27, votes={'no': 1}); STUDENT_ATTENDANCE.CREATED_BY (no, 0.26, votes={'no': 1})"
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesHeldForOffering,,needs review (no confident match),0.235,no confident match (LLM rejected all candidates),,,"STUDENT_ATTENDANCE.LECTURE_ID (no, 0.24, votes={'no': 1}); PHD_STUDENT_SUPERVISOR_LOG.COMMENTS_FOR_SUPERVISOR (no, 0.23, votes={'no': 1}); PHD_STUDENT_SUPERVISOR_LOG.COMMENTS_FOR_GSC (no, 0.22, votes={'no': 1})"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,degreeMinimumCreditHours,number,needs review (no confident match),0.376,no confident match (LLM rejected all candidates),,,"COURSE.MIN_CREDIT_HRS (no, 0.38, votes={'no': 1}); TT_STD_REGISTRATION.MIN_CREDIT_HRS (no, 0.38, votes={'no': 1}); COURSE.CREDIT_HRS (no, 0.35, votes={'no': 1})"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,cumulativeGPA,number,"likely derived (auto, low confidence -- needs review)",0.225,no confident match (LLM rejected all candidates),,,"FMSPONSORSHIP.MINSGPA (no, 0.23, votes={'no': 1}); FMSTUDENTSPONSORSHIP.MINSGPA (no, 0.23, votes={'no': 1}); FB_QUESTIONS.ISACTIVE (no, 0.21, votes={'no': 1})"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,semestersElapsed,number,"likely derived (auto, low confidence -- needs review)",0.21,no confident match (LLM rejected all candidates),,,"FMLEDGER_SPONS_TEMP.STUDENTSPONSID (no, 0.21, votes={'no': 1}); FMLEDGER_STUDENTSPONS.STUDENTSPONSID (no, 0.21, votes={'no': 1}); DISCIPLINE_PREFERENCE.ISSELECTED (no, 0.21, votes={'no': 1})"
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,yearsElapsed,number,"likely derived (auto, low confidence -- needs review)",0.235,no confident match (LLM rejected all candidates),,,"D_FAMILY_RELATION.REL_TYPE_ID (no, 0.23, votes={'no': 1}); STUDENT_FAMILY_INFO.REL_TYPE_ID (no, 0.23, votes={'no': 1}); NUTES_SEG_DATA.YEAR (no, 0.23, votes={'no': 1})"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,priorRegistrationCount,number,"likely derived (auto, low confidence -- needs review)",0.284,no confident match (LLM rejected all candidates),,,"FMSCROLLSUMMARY.TRANSACTIONCOUNT (no, 0.28, votes={'no': 1}); COURSE_REGISTRATION.REG_STATUS (no, 0.28, votes={'no': 1}); COURSE_REGISTRATION_T.REG_STATUS (no, 0.28, votes={'no': 1})"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isElectiveTaughtByVisitingScholarUnavailableOtherwise,boolean,needs review (no confident match),0.112,no confident match (LLM rejected all candidates),,,"ORA_ASPNET_WEBEVENTS.APPLICATIONVIRTUALPATH (no, 0.11, votes={'no': 1}); ORA_ASPNET_SESSIONS.SESSIONITEMSHORT (no, 0.11, votes={'no': 1}); COURSE_REGISTRATION.IS_REPLACED (no, 0.10, votes={'no': 1})"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isNeededToGraduateThisSummer,boolean,needs review (no confident match),0.142,no confident match (LLM rejected all candidates),,,"ORA_ASPNET_USERS.LOWEREDUSERNAME (no, 0.14, votes={'no': 1}); ORA_ASPNET_APPLICATIONS.LOWEREDAPPLICATIONNAME (no, 0.14, votes={'no': 1}); ORA_ASPNET_WEBEVENTS.DETAILS (no, 0.13, votes={'no': 1})"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,repeatCourseCountRequested,number,"likely derived (auto, low confidence -- needs review)",0.34,no confident match (LLM rejected all candidates),,,"COURSE_REGISTRATION.COURSE_ID (no, 0.34, votes={'no': 1}); COURSE_REGISTRATION_T.COURSE_ID (no, 0.34, votes={'no': 1}); TT_STD_REGISTRATION.COURSE_ID (no, 0.34, votes={'no': 1})"
