dmn_file,decision_name,variable_name,io,jbilling_column,mapping_type,notes
Ageing_and_Dunning.dmn,Is Ageing Required,expiryDate,input,n/a,derived,"base_user.last_status_change (fallback base_user.create_datetime, both real columns) plus ageing_entity_step.days, added as calendar days (BasicAgeingTask) or business days via BusinessDays (BusinessDayAgeingTask); no single column holds this computed date."
Ageing_and_Dunning.dmn,Is Ageing Required,ageingRequired,output,n/a,not-persisted,Transient boolean computed per review pass; not written back to ageing_entity_step or base_user.
Ageing_and_Dunning.dmn,Invoice Overdue Check,dueDatePlusGrace,input,invoice.due_date,derived,"invoice.due_date plus the entity process.grace_period preference (a system preference row, not a column)."
Ageing_and_Dunning.dmn,Invoice Overdue Check,invoiceOverdue,output,n/a,not-persisted,Transient result used only to decide whether to advance ageing in the excluded set-level review loop.
Ageing_and_Dunning.dmn,Ageing Step Advancement,currentStatusIsActive,input,base_user.status_id,derived,base_user.status_id compared against the hardcoded constant UserDTOEx.STATUS_ACTIVE=1; no boolean column exists.
Ageing_and_Dunning.dmn,Ageing Step Advancement,ageingStepConfigFound,input,"ageing_entity_step (entity_id, status_id)",derived,"[ASSUMED -- no source documentation for the exact entity/status correlation; researcher interpretation for evaluation-coverage purposes, not verified against the real jBilling system, 2026-09-24] Boolean derived from existence of an ageing_entity_step row keyed by THIS user's own entity_id and status_id -- the correlation the original note described in words but did not encode in a machine-actionable filter."
Ageing_and_Dunning.dmn,Ageing Step Advancement,ageingRequired,input,n/a,not-persisted,Consumed directly from Is Ageing Required's output -- this is the DRD chain edge.
Ageing_and_Dunning.dmn,Ageing Step Advancement,advanceToNextStep,output,n/a,not-persisted,Drives a subsequent write to base_user.status_id and base_user.last_status_change; the flag itself is never stored.
Ageing_and_Dunning.dmn,Ageing Step Advancement,advancementReason,output,n/a,not-persisted,Synthetic label for DMN readability; the Java code has no reason-code variable or column of its own.
Ageing_and_Dunning.dmn,Ageing Status Change Order Action,newStatusIsDeleted,input,generic_status.id,derived,generic_status.id (the new UserStatusDTO row) compared against the hardcoded constant UserDTOEx.STATUS_DELETED=8.
Ageing_and_Dunning.dmn,Ageing Status Change Order Action,oldStatusCanLogin,input,generic_status.can_login,direct - exact match,Read off the entity's PREVIOUS status row; generic_status.can_login is a real smallint column (dtype='user_status').
Ageing_and_Dunning.dmn,Ageing Status Change Order Action,newStatusCanLogin,input,generic_status.can_login,direct - exact match,"Same column, read off the NEW status row being transitioned to."
Ageing_and_Dunning.dmn,Ageing Status Change Order Action,orderAction,output,n/a,not-persisted,"Drives order_line status writes (ORDER_STATUS_SUSPENDED_AGEING / ORDER_STATUS_ACTIVE) and/or user deletion; the action label itself is implicit in which if-block ran, not a stored value."
Ageing_and_Dunning.dmn,Ageing Step Config Validation,statusIsActive,input,base_user.status_id / generic_status.id,derived,"Loop index over the STATUS_ACTIVE..STATUS_DELETED range, itself keyed off generic_status.id, compared to the STATUS_ACTIVE constant."
Ageing_and_Dunning.dmn,Ageing Step Config Validation,statusIsDeleted,input,base_user.status_id / generic_status.id,derived,Same loop index compared to the STATUS_DELETED constant.
Ageing_and_Dunning.dmn,Ageing Step Config Validation,isLastSelectedStep,input,n/a,derived,Computed as the highest array index with inUse=true across the submitted admin-screen steps array; not a stored flag.
